Filename,ArXiv ID,Summary Status,Summary Snippet
3D-ViTac_2410.24091.pdf,2410.24091,Available,Summary Available
3DDiffusionPolicy_2403.03954.pdf,2403.03954,Available,Summary Available
3D_Flow_Diffusion_Policy_2509.18676.pdf,2509.18676,Available,Summary Available
AnyTouch_2502.12191.pdf,2502.12191,Available,Summary Available
Contractive_Diffusion_Policies_Robust_Action_Diffusion_via_Contractive_Score-Based_Sampling_with_Differential_Equations_2601.01003.pdf,2601.01003,Available,Summary Available
Data_Scaling_Laws_in_Imitation_Learning_for_Robotic_Manipulation_2410.18647.pdf,2410.18647,Available,Summary Available
Diffusion_Policy_Policy_Optimization_2409.00588.pdf,2409.00588,Available,Summary Available
Embodied_Robot_Manipulation_in_the_Era_of_Foundation_Models_Planning_and_Learning_Perspectives_2512.22983.pdf,2512.22983,Available,Summary Available
Generalizable_3D_Diffusion_Policies_2410.10803.pdf,2410.10803,Available,Summary Available
ImplicitRDP_2512.10946.pdf,2512.10946,Available,Summary Available
OmniVTLA_2508.08706.pdf,2508.08706,Available,Summary Available
PointNet4D_A_Lightweight_4D_Point_Cloud_Video_Backbone_for_Online_and_Offline_Perception_in_Robotic_Applications_2512.01383.pdf,2512.01383,Available,Summary Available
RETRO_2505.14319.pdf,2505.14319,Available,Summary Available
ReactiveDiffusionPolicy_2503.02881.pdf,2503.02881,Available,Summary Available
Sparsh_2410.24090.pdf,2410.24090,Available,Summary Available
Spatially_anchored_Tactile_Awareness_for_Robust_Dexterous_Manipulation_2510.14647.pdf,2510.14647,Available,Summary Available
TLA_2503.08548.pdf,2503.08548,Available,Summary Available
TVL_Dataset_2402.13232.pdf,2402.13232,Available,Summary Available
Tactile-ConditionedDiffusionPolicy_2510.13324.pdf,2510.13324,Available,Summary Available
Tactile-VLA_2507.09160.pdf,2507.09160,Available,Summary Available
Task-Optimized_ConvRNN_2505.18361.pdf,2505.18361,Available,Summary Available
TextToucher_2409.05427.pdf,2409.05427,Available,Summary Available
Towards_a_Unified_Understanding_of_Robot_Manipulation_A_Comprehensive_Survey_2510.10903.pdf,2510.10903,Available,Summary Available
UniTac-NV_2506.19699.pdf,2506.19699,Available,Summary Available
ViTaMIn_Learning_Contact-Rich_Tasks_Through_Robot-Free_Visuo-Tactile_Manipulation_Interface_2504.06156.pdf,2504.06156,Available,Summary Available
ForceVLA_2505.22159.pdf,2505.22159,Available,Summary Available
TacDiffusion_2409.11047.pdf,2409.11047,Available,Summary Available
ManiCM_Real-time_3D_Diffusion_Policy_via_Consistency_Model_2406.01586.pdf,2406.01586,Available,Summary Available
FlowPolicy_2412.04987.pdf,2412.04987,Available,Summary Available
PointFlowMatch_Learning_Robotic_Manipulation_Policies_from_Point_Clouds_with_Conditional_Flow_Matching_2409.07343.pdf,2409.07343,Available,Summary Available
Scaling_Diffusion_Policy_in_Transformer_to_1_Billion_Parameters_2409.14411.pdf,2409.14411,Available,Summary Available
Helix_02_Unified_Whole-Body_Loco-Manipulation_VLA_NA.pdf,N/A,Pending,Summary Missing
GR00T_N1_Open_Foundation_Model_for_Generalist_Humanoid_Robots_2503.14734.pdf,2503.14734,Available,Summary Available
Gemini_Robotics_Bringing_AI_into_the_Physical_World_2503.20020.pdf,2503.20020,Available,Summary Available
PointVLA_2503.07511.pdf,2503.07511,Available,Summary Available
SpatialVLA_Exploring_Spatial_Representations_for_Visual-Language-Action_Model_2501.15830.pdf,2501.15830,Available,Summary Available
Spec-VLA_Speculative_Decoding_for_Vision-Language-Action_Models_2507.22424.pdf,2507.22424,Available,Summary Available
ET-SEED_Efficient_Trajectory-Level_SE(3)_Equivariant_Diffusion_Policy_2411.03990.pdf,2411.03990,Available,Summary Available
CordViP_2502.08449.pdf,2502.08449,Available,Summary Available
ViViDex_Learning_Vision-based_Dexterous_Manipulation_from_Human_Videos_2404.15709.pdf,2404.15709,Available,Summary Available
FACTR_2502.17432.pdf,2502.17432,Available,Summary Available
Bi-LAT_2504.01301.pdf,2504.01301,Available,Summary Available
